"TotMilch_Menge_inkl_LI","CH_Milchpreis","Molkerei_Milchpreis","Verkaest_Milchpreis","Gewerblich_Milchpreis","Bio_Milchpreis","EU_Milchpreis_CHF","Kurs_CHF_Euro","Total_Staatlich_Zahlung","staatlich_kg_Milch","Kontingent_01","Freihandel_01","EU_Politik_01","Industriell_verkäst_Milchpreis","Import_Menge_Käse_und_Quark_kg","Schlachtungen_Kühe","Magermilchpulver_Prod_Menge","Vollmilchpulver_Prod_Menge","Butter_Prod_Menge","Export_Menge_Käse_und_Quark_kg","Milchpreis_NZ_Euro"
287376,84.3049703800126,84.6897488010584,82.98,82.21,94.3791506247612,55.951005,1.5945,42132106.4333333,14.6609690556391,1,1,1,84.1401233829293,3612502,14379,1678,1423,3025,5076993,23.58
287251,83.8787061970663,83.616117022513,83.38,82.75,92.4082451306819,51.413164,1.5202,41495488.1833333,14.4457245347565,1,1,1,84.3408213454946,3211963,17762,1370,2251,3394,5270438,20.92
262213,79.8246074289752,78.2487630124886,79.97,81.34,89.0381483519499,49.69856,1.5152,41345617.1333333,15.7679509152229,1,1,1,77.906474095137,3293249,16612,1096,2360,2766,5732126,20.31
275179,79.8901206021573,78.2160399248687,80.28,81.77,87.4678535210023,47.607524,1.5397,35338630.3833332,12.842052040066,1,1,1,78.0371791070798,3796959,14120,3028,1127,4347,5740874,16.11
284927,74.2247083871433,71.3782038606887,76.26,79.41,80.3991211574165,43.87878,1.494,41577653.1833332,14.5923879391329,1,1,1,71.5487574546334,2844961,15943,3492,1391,4749,3965270,16.1
267204,71.1738527408133,67.6506680709369,74.18,78.54,78.6490519375947,42.36001,1.4905,35271961.0833333,13.2003866271962,1,1,1,67.6487724022121,3378074,12795,3589,891,4404,4247177,15.59
306899,68.7852281270266,64.7692332310947,72.42,77.15,76.0230813293012,39.884996,1.5068,33981515.7333333,11.0725403905954,1,1,1,65.3271957299418,4162785,14869,4464,986,5383,4977258,16.09
313905,64.9454396330175,59.6546831633139,68.52,73.76,76.9451202536536,37.089648,1.5151,36832933.9833332,11.7337837827793,1,1,1,60.6618697836593,3651781,13547,4676,801,5201,4611739,17.08
320816,63.6996299184199,59.562540031066,67.15,71.27,73.5252801493848,36.872802,1.5118,39439314.1833333,12.2934374168786,0,1,1,60.9782948981747,3604862,11107,3771,2236,4602,4495118,17.53
281103,66.6054050905753,63.4370758142907,69.3,72.25,79.0999702073265,37.150685,1.5145,36806479.5833333,13.0935918803191,0,1,1,64.8640032880593,3935696,12743,2943,1347,3684,4085969,15.78
268215,64.5101159797948,60.2103625076736,69.25,72.58,79.4969371609031,37.837778,1.5202,34301075.0833333,12.7886490626301,0,1,1,64.2552949053537,3688596,11950,2500,1176,3378,4234683,15.8
260182,64.5283390723036,61.2923976915476,69.08,71.98,78.7797697315128,39.10584,1.524,33633087.0333333,12.9267539773441,0,1,1,64.7224105558006,3773624,14465,1962,1356,2779,4453661,18.37
286090,65.1489981913201,61.6020427749325,69.71,72.54,78.8745503519646,39.83924,1.5148,34148663.0333332,11.9363357801158,0,1,1,65.4757479698968,3835081,15546,1914,1402,2996,5159274,18.72
288155,65.713022289385,62.5631020262083,69.91,72.76,77.2962437154212,40.75688,1.514,36969800.6833332,12.8298314043946,0,1,1,65.6198334466091,3411515,17619,2427,1367,3473,5204929,22.92
260678,64.4360483036447,60.906375730854,68.87,73.25,75.0182176098677,42.89536,1.5104,35081390.8333333,13.4577489597639,0,1,1,62.3159087514523,3782531,18590,1901,1426,3208,5786153,22.49
277178,64.1607218458838,60.7999466830778,68.91,73.44,76.3761165436941,42.535775,1.5025,29356649.8333333,10.5912625941934,0,1,1,62.1248035383034,4031399,13962,3181,1287,4037,5796309,22.58
288675,64.1057028912025,60.9158867451556,68.8,73.21,73.8154134034537,42.735698,1.4767,31591463.9499999,10.9436092318351,0,1,1,62.1836466805558,3022926,15260,4251,1104,5179,4459291,23.6
271015,62.9659800282215,59.8429549752292,67.67,71.98,72.6367568738276,42.008799,1.4673,30140251.35,11.1212483995351,0,1,1,61.2151296012505,3528541,12850,3434,1044,4298,4598130,23.64
312674,62.3509793509347,59.0010492095591,66.89,71.53,71.8962166572766,40.743492,1.4484,29694275.2,9.49688020110402,0,1,1,59.9307008808163,4664846,15290,4328,1381,5223,5493918,25.58
